Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign,Chinese Zodiac,Age,team_market,team_name,team_id
JAMES MADISON DUKES,Colonial Athletic Association,Louis Rowe,12/26/1972,12,26,1972,2016–17,1226,Capricorn,Rat,47,James Madison,Dukes,524e3eec-7dde-45c7-b3cc-6308cec73350
KANSAS JAYHAWKS,Big 12 Conference,Bill Self,12/27/1962,12,27,1962,2003–04,1227,Capricorn,Tiger,57,Kansas,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952
KANSAS STATE WILDCATS,Big 12 Conference,Bruce Weber,10/19/1956,10,19,1956,2012–13,1019,Libra,Monkey,63,Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb
KENNESAW STATE OWLS,Atlantic Sun Conference,Al Skinner,6/16/1952,6,16,1952,2015–16,616,Gemini,Dragon,67,Kennesaw State,Owls,2e8442e9-bd09-4d46-9dd3-de79433287f3
KENT STATE GOLDEN FLASHES,Mid-American Conference,Rob Senderoff,7/25/1973,7,25,1973,2011–12,725,Leo,Ox,46,Kent State,Golden Flashes,3da4798c-2d58-4dac-b66e-ad145a91b544
KENTUCKY WILDCATS,Southeastern Conference,John Calipari,2/10/1959,2,10,1959,2009–10,210,Aquarius,Pig,60,Kentucky,Wildcats,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
LA SALLE EXPLORERS,Atlantic 10 Conference,Ashley Howard,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51,La Salle,Explorers,ad9a3e21-4585-4e35-8946-290fe4a16f18
LAFAYETTE LEOPARDS,Patriot League,Fran O'Hanlon,8/24/1948,8,24,1948,1995–96,824,Virgo,Rat,71,Lafayette,Leopards,6af02334-9ac3-452f-bcf4-20abdb72bd07
LAMAR CARDINALS,Southland Conference,Tic Price,11/29/1955,11,29,1955,2014–15,1129,Sagittarius,Goat,64,Lamar,Cardinals,eda6c307-1e0f-4a28-82f4-ee9653b343fb
LEHIGH MOUNTAIN HAWKS,Patriot League,Brett Reed,5/29/1972,5,29,1972,2007–08,529,Gemini,Rat,47,Lehigh,Mountain Hawks,508f503f-dc57-4f4c-a01e-4f195e5c05c8
LIBERTY FLAMES,Atlantic Sun Conference,Ritchie McKay,4/22/1965,4,22,1965,2015–16,422,Taurus,Snake,54,Liberty,Flames,559db90c-741f-40d1-aa81-3fdd1d4889f3
LIPSCOMB BISONS,Atlantic Sun Conference,Casey Alexander,6/8/1972,6,8,1972,2013–14,608,Gemini,Rat,47,Lipscomb,Bisons,a2b8223d-40b3-4076-b5df-55655c2f8591
LIU BROOKLYN BLACKBIRDS,Northeast Conference,Derek Kellogg,6/20/1973,6,20,1973,2017–18,620,Gemini,Ox,46,LIU Brooklyn,Blackbirds,82c12e8d-7c6c-47d8-b100-3cbc190d268e
LONG BEACH STATE 49ERS,Big West Conference,Dan Monson,10/6/1961,10,6,1961,2007–08,1006,Libra,Ox,58,Long Beach State,49ers,11a617d5-af03-4cce-bc8a-51114d9e41fe
LONGWOOD LANCERS,Big South Conference,Griff Aldrich,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51,Longwood,Lancers,600aad0e-85e7-4db8-be0b-94ba02a08e55
LOUISIANA TECH BULLDOGS,Conference USA,Eric Konkol,11/24/1976,11,24,1976,2015–16,1124,Sagittarius,Dragon,43,Louisiana Tech,Bulldogs,8ff733a9-9f93-46de-ba7e-cf6f7e429670
LOUISIANA RAGIN' CAJUNS,Sun Belt Conference,Bob Marlin,3/5/1959,3,5,1959,2010–11,305,Pisces,Pig,60,Louisiana-Lafayette,Ragin' Cajuns,63cad858-8654-4956-8438-8fe79cd1208a
LOUISIANA–MONROE WARHAWKS,Sun Belt Conference,Keith Richard,10/1/1960,10,1,1960,2010–11,1001,Libra,Rat,59,Louisiana-Monroe,Warhawks,18585f21-1d63-4400-974c-433fd5073c34
LOUISVILLE CARDINALS,Atlantic Coast Conference,Chris Mack,12/30/1969,12,30,1969,2018–19,1230,Capricorn,Rooster,50,Louisville,Cardinals,b795ddbc-baab-4499-8803-52e8608520ab
LOYOLA (CHICAGO) RAMBLERS,Missouri Valley Conference,Porter Moser,8/24/1968,8,24,1968,2011–12,824,Virgo,Monkey,51,Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a
LOYOLA (MARYLAND) GREYHOUNDS,Patriot League,Tavaras Hardy,2/9/1980,2,9,1980,2018–19,209,Aquarius,Monkey,39,Loyola (MD),Greyhounds,175d34a7-3823-4e4f-9f11-2464f55360b8
LOYOLA MARYMOUNT LIONS,West Coast Conference,Mike Dunlap,5/27/1957,5,27,1957,2014–15,527,Gemini,Rooster,62,Loyola Marymount,Lions,441a11b4-b506-45b3-8030-fe72a4381c40
LSU TIGERS,Southeastern Conference,Will Wade,11/26/1982,11,26,1982,2017–18,1126,Sagittarius,Dog,37,LSU,Tigers,70e2bedd-3a0a-479c-ac99-e3f58aa6824b
MAINE BLACK BEARS,America East Conference,Richard Barron,2/3/1969,2,3,1969,2018–19,203,Aquarius,Rooster,50,Maine,Black Bears,0095032d-6143-44f2-8974-f6815fc56c5b
MANHATTAN JASPERS,Metro Atlantic Athletic Conference,Steve Masiello,9/2/1977,9,2,1977,2011–12,902,Virgo,Snake,42,Manhattan,Jaspers,7a270923-01d6-4a6f-a93e-e8786266d502
MARIST RED FOXES,Metro Atlantic Athletic Conference,John Dunne,6/11/1970,6,11,1970,2018–19,611,Gemini,Dog,49,Marist,Red Foxes,15d31915-fbd6-4ae3-8e4b-f3b563c56a18
MARQUETTE GOLDEN EAGLES,Big East Conference,Steve Wojciechowski,8/11/1976,8,11,1976,2014–15,811,Leo,Dragon,43,Marquette,Golden Eagles,06f7c904-0ac7-4125-b0f4-f4871bb69057
MARSHALL THUNDERING HERD,Conference USA,Dan D'Antoni,7/9/1947,7,9,1947,2014–15,709,Cancer,Pig,72,Marshall,Thundering Herd,58d8baa3-7624-4b21-a47f-a23df2bf8859
MARYLAND TERRAPINS,Big Ten Conference,Mark Turgeon,2/5/1965,2,5,1965,2011–12,205,Aquarius,Snake,54,Maryland,Terrapins,2778d005-cc14-4e58-9bf2-3fc37bffb62f
MARYLAND EASTERN SHORE HAWKS,Mid-Eastern Athletic Conference,Clifford Reed,4/12/1965,4,12,1965,2018–19,412,Aries,Snake,54,Maryland-Eastern Shore,Hawks,d20216d8-161c-46e3-b8d2-92208ddf5acf
UMASS MINUTEMEN,Atlantic 10 Conference,Matt McCall,12/12/1981,12,12,1981,2017–18,1212,Sagittarius,Rooster,38,Massachusetts,Minutemen,88104678-e53b-43b3-82f7-efb3a11cedb9
UMASS LOWELL RIVER HAWKS,America East Conference,Pat Duquette,11/4/1970,11,4,1970,2013–14,1104,Scorpio,Dog,49,Massachusetts-Lowell,River Hawks,4927ef8b-e680-4fb8-b10e-2ea3eff32eab
MCNEESE STATE COWBOYS,Southland Conference,Heath Schroyer,3/15/1972,3,15,1972,2018–19,315,Pisces,Rat,47,McNeese State,Cowboys,d2ef641c-70e4-48bb-b40d-ac654d179205
MEMPHIS TIGERS,American Athletic Conference,Penny Hardaway,7/18/1971,7,18,1971,2018–19,718,Cancer,Pig,48,Memphis,Tigers,1551b3a0-6d10-4ffa-8dfa-73b56f004553
MERCER BEARS,Southern Conference,Bob Hoffman,7/18/1957,7,18,1957,2008–09,718,Cancer,Rooster,62,Mercer,Bears,a14b0057-8eb5-43d2-a33b-666196da933e
MIAMI HURRICANES,Atlantic Coast Conference,Jim Larrañaga,10/2/1949,10,2,1949,2011–12,1002,Libra,Ox,70,Miami (FL),Hurricanes,7aec5187-cb1b-45e5-8f7d-406d766cdc73
MIAMI REDHAWKS,Mid-American Conference,Jack Owens,4/3/1977,4,3,1977,2017–18,403,Aries,Snake,42,Miami (OH),RedHawks,1165ca31-f181-4206-b727-c4e897e4b5cd
MICHIGAN WOLVERINES,Big Ten Conference,John Beilein,2/5/1953,2,5,1953,2007–08,205,Aquarius,Snake,66,Michigan,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277
MICHIGAN STATE SPARTANS,Big Ten Conference,Tom Izzo,1/30/1955,1,30,1955,1995–96,130,Aquarius,Goat,64,Michigan State,Spartans,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
MIDDLE TENNESSEE BLUE RAIDERS,Conference USA,Nick McDevitt,4/21/1979,4,21,1979,2018–19,421,Taurus,Goat,40,Middle Tennessee,Blue Raiders,3d2f0819-8f3b-4ff3-afd6-6227c469a751
MILWAUKEE PANTHERS,Horizon League,Pat Baldwin,8/22/1972,8,22,1972,2017–18,822,Leo,Rat,47,Milwaukee,Panthers,5d77800f-1ae6-4b66-8e97-b0dbb8bbc717
MINNESOTA GOLDEN GOPHERS,Big Ten Conference,Richard Pitino,9/16/1982,9,16,1982,2013–14,916,Virgo,Dog,37,Minnesota,Golden Gophers,fa416692-7e09-4f0a-9bcf-0cf7d5149a14
MISSISSIPPI STATE BULLDOGS,Southeastern Conference,Ben Howland,5/28/1957,5,28,1957,2015–16,528,Gemini,Rooster,62,Mississippi State,Bulldogs,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae
MISSISSIPPI VALLEY STATE DELTA DEVILS,Southwestern Athletic Conference,Andre Payne,10/10/1968,10,10,1968,2014–15,1010,Libra,Monkey,51,Mississippi Valley State,Delta Devils,5873529e-e5e3-4a06-8a03-fa4cbe509880
MISSOURI TIGERS,Southeastern Conference,Cuonzo Martin,9/23/1971,9,23,1971,2017–18,923,Libra,Pig,48,Missouri,Tigers,77ca152a-cb2f-48a5-97b2-492351250d94
MISSOURI STATE BEARS,Missouri Valley Conference,Dana Ford,6/9/1984,6,9,1984,2018–19,609,Gemini,Rat,35,Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed
MONMOUTH HAWKS,Metro Atlantic Athletic Conference,King Rice,12/14/1968,12,14,1968,2011–12,1214,Sagittarius,Monkey,51,Monmouth,Hawks,3db7336c-c18a-441b-912e-e2a4408f12ea
MONTANA GRIZZLIES,Big Sky Conference,Travis DeCuire,11/21/1970,11,21,1970,2014–15,1121,Scorpio,Dog,49,Montana,Grizzlies,e3848467-66c0-41e5-8283-02e3586d8601
MONTANA STATE BOBCATS,Big Sky Conference,Brian Fish,12/20/1965,12,20,1965,2014–15,1220,Sagittarius,Snake,54,Montana State,Bobcats,bec40585-b587-4548-93f5-b7c00b046aea
MOREHEAD STATE EAGLES,Ohio Valley Conference,Preston Spradlin,12/30/1986,12,30,1986,2016–17,1230,Capricorn,Ox,33,Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248
MORGAN STATE BEARS,Mid-Eastern Athletic Conference,Todd Bozeman,12/5/1963,12,5,1963,2006–07,1205,Sagittarius,Rabbit,56,Morgan State,Bears,576b816b-5b9a-4768-a62b-f8435a8272c2
MOUNT ST. MARY'S MOUNTAINEERS,Northeast Conference,Dan Engelstad,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51,Mount St. Mary's,Mountaineers,5fe4a398-1699-4442-a364-305b2f0ac01e
MURRAY STATE RACERS,Ohio Valley Conference,Matt McMahon,4/26/1978,4,26,1978,2015–16,426,Taurus,Horse,41,Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e
NJIT HIGHLANDERS,Atlantic Sun Conference,Brian Kennedy,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51,N.J.I.T.,Highlanders,500d7223-ecff-494b-9539-28427156c783
NAVY MIDSHIPMEN,Patriot League,Ed DeChellis,11/14/1958,11,14,1958,2011–12,1114,Scorpio,Dog,61,Navy,Midshipmen,3b088563-ca8a-49a6-9e19-5e4cb186ae1d
NEBRASKA CORNHUSKERS,Big Ten Conference,Tim Miles,8/20/1966,8,20,1966,2012–13,820,Leo,Horse,53,Nebraska,Cornhuskers,f8b1bf00-5b73-4ac4-98c0-ec554027ae32
OMAHA MAVERICKS,Summit League,Derrin Hansen,12/15/1967,12,15,1967,2011–12,1215,Sagittarius,Goat,52,Nebraska-Omaha,Mavericks,68d2aa5b-714f-4652-96f3-b71e1752413f
NEVADA WOLF PACK,Mountain West Conference,Eric Musselman,11/19/1964,11,19,1964,2015–16,1119,Scorpio,Dragon,55,Nevada,Wolf Pack,62a73b4a-e281-4483-a1f8-f1160a18e456
NEW HAMPSHIRE WILDCATS,America East Conference,Bill Herrion,4/6/1958,4,6,1958,2005–06,406,Aries,Dog,61,New Hampshire,Wildcats,93cb009e-5bbf-4081-b2c9-44028fe28096
NEW MEXICO LOBOS,Mountain West Conference,Paul Weir,6/12/1979,6,12,1979,2017–18,612,Gemini,Goat,40,New Mexico,Lobos,1b1977ec-b32f-4ce3-95a4-d07bab4816cd
NEW MEXICO STATE AGGIES,Western Athletic Conference,Chris Jans,4/12/1969,4,12,1969,2017–18,412,Aries,Rooster,50,New Mexico State,Aggies,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
NEW ORLEANS PRIVATEERS,Southland Conference,Mark Slessinger,5/2/1974,5,2,1974,2011–12,502,Taurus,Tiger,45,New Orleans,Privateers,e7ff6d5c-07e9-42af-955d-0a0b8c1e2288
NIAGARA PURPLE EAGLES,Metro Atlantic Athletic Conference,Chris Casey,10/15/1963,10,15,1963,2013–14,1015,Libra,Rabbit,56,Niagara,Purple Eagles,f7575278-12ec-494a-b544-427c1759d43d
NICHOLLS STATE COLONELS,Southland Conference,Austin Claunch,11/17/1989,11,17,1989,2018–19,1117,Scorpio,Ox,30,Nicholls State,Colonels,c0d19efd-d40c-4e32-8e90-dbcb28178b5d
NORFOLK STATE SPARTANS,Mid-Eastern Athletic Conference,Robert Jones,6/26/1979,6,26,1979,2013–14,626,Cancer,Goat,40,Norfolk State,Spartans,a8f75c12-c4db-401f-99e3-b48209d85274
NORTH ALABAMA LIONS,Atlantic Sun Conference,Tony Pujol,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51,North Alabama,Lions,61db8108-45f1-43e5-ade8-83278324bc7d
NORTH CAROLINA TAR HEELS,Atlantic Coast Conference,Roy Williams,8/1/1950,8,1,1950,2003–04,801,Leo,Tiger,69,North Carolina,Tar Heels,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
NORTH CAROLINA A&T AGGIES,Mid-Eastern Athletic Conference,Jay Joyner,10/10/1968,10,10,1968,2015–16,1010,Libra,Monkey,51,North Carolina A&T,Aggies,53aaac6a-796e-41a6-a04e-6ce74c5717f8
NORTH CAROLINA CENTRAL EAGLES,Mid-Eastern Athletic Conference,LeVelle Moton,6/16/1974,6,16,1974,2009–10,616,Gemini,Tiger,45,North Carolina Central,Eagles,e4c315a0-e83f-4d14-856e-34a0463059e3
NC STATE WOLFPACK,Atlantic Coast Conference,Kevin Keatts,7/28/1972,7,28,1972,2017–18,728,Leo,Rat,47,North Carolina State,Wolfpack,52df1e19-b142-4a76-a439-ad68455d0581
UNC WILMINGTON SEAHAWKS,Colonial Athletic Association,C.B. McGrath,11/21/1975,11,21,1975,2017–18,1121,Scorpio,Rabbit,44,North Carolina-Wilmington,Seahawks,c54279f9-3028-4663-893a-7d22482f8098
NORTH DAKOTA FIGHTING HAWKS,Summit League,Brian Jones,4/22/1971,4,22,1971,2006–07,422,Taurus,Pig,48,North Dakota,Fighting Hawks,de8fc8a7-253f-4597-8a48-a0104ef226ae
NORTH DAKOTA STATE BISON,Summit League,David Richman,5/1/1978,5,1,1978,2014–15,501,Taurus,Horse,41,North Dakota State,Bison,984e7518-e418-45d5-9797-979b8c2085c1
NORTH FLORIDA OSPREYS,Atlantic Sun Conference,Matthew Driscoll,12/14/1964,12,14,1964,2009–10,1214,Sagittarius,Dragon,55,North Florida,Ospreys,09920a5f-1b25-466c-b5ae-6167214f5ba9
NORTH TEXAS MEAN GREEN,Conference USA,Grant McCasland,10/14/1976,10,14,1976,2017–18,1014,Libra,Dragon,43,North Texas,Mean Green,10f450ce-143b-4e46-8bfe-52c644b68b07
NORTHEASTERN HUSKIES,Colonial Athletic Association,Bill Coen,5/3/1961,5,3,1961,2006–07,503,Taurus,Ox,58,Northeastern,Huskies,93df9b18-e9fc-42a7-bb45-a736c203b4dc
NORTHERN ARIZONA LUMBERJACKS,Big Sky Conference,Jack Murphy,7/25/1979,7,25,1979,2012–13,725,Leo,Goat,40,Northern Arizona,Lumberjacks,1753768d-e46e-40b1-8d69-a8ae5cccec03
NORTHERN COLORADO BEARS,Big Sky Conference,Jeff Linder,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51,Northern Colorado,Bears,7e42fa84-68cd-47a6-b49a-18b5414d8084
NORTHERN ILLINOIS HUSKIES,Mid-American Conference,Mark Montgomery,4/1/1970,4,1,1970,2011–12,401,Aries,Dog,49,Northern Illinois,Huskies,3f0ac618-3742-471a-9d1f-03e08f3deca2
NORTHERN IOWA PANTHERS,Missouri Valley Conference,Ben Jacobson,12/16/1970,12,16,1970,2006–07,1216,Sagittarius,Dog,49,Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4
NORTHERN KENTUCKY NORSE,Horizon League,John Brannen,1/18/1974,1,18,1974,2015–16,118,Capricorn,Tiger,45,Northern Kentucky,Norse,ab9a1315-293f-42d3-a164-860216e81576
NORTHWESTERN WILDCATS,Big Ten Conference,Chris Collins,4/19/1974,4,19,1974,2013–14,419,Aries,Tiger,45,Northwestern,Wildcats,4b7dedc0-7b48-49a4-aad6-8a94a33274d2
NORTHWESTERN STATE DEMONS,Southland Conference,Mike McConathy,12/27/1955,12,27,1955,1999–2000,1227,Capricorn,Goat,64,Northwestern State,Demons,71874e7e-8260-43f9-bb7c-65f267dbe8ce
NOTRE DAME FIGHTING IRISH,Atlantic Coast Conference,Mike Brey,3/22/1959,3,22,1959,2000–01,322,Aries,Pig,60,Notre Dame,Fighting Irish,80962f09-8821-48b6-8cf0-0cf0eea56aa8
OAKLAND GOLDEN GRIZZLIES,Horizon League,Greg Kampe,12/5/1955,12,5,1955,1984–85,1205,Sagittarius,Goat,64,Oakland,Golden Grizzlies,aeaaef0d-5238-414e-ac04-c55a22cba208
OHIO BOBCATS,Mid-American Conference,Saul Phillips,10/10/1972,10,10,1972,2014–15,1010,Libra,Rat,47,Ohio,Bobcats,327f09e2-e75f-4014-8ef7-caf9202cd583
OHIO STATE BUCKEYES,Big Ten Conference,Chris Holtmann,11/11/1971,11,11,1971,2017–18,1111,Scorpio,Pig,48,Ohio State,Buckeyes,857462b3-0ab6-4d26-9669-10ca354e382b
OKLAHOMA SOONERS,Big 12 Conference,Lon Kruger,8/19/1952,8,19,1952,2011–12,819,Leo,Dragon,67,Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e
OKLAHOMA STATE COWBOYS,Big 12 Conference,Mike Boynton,1/17/1982,1,17,1982,2017–18,117,Capricorn,Dog,37,Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11
OLD DOMINION MONARCHS,Conference USA,Jeff Jones,6/29/1960,6,29,1960,2013–14,629,Cancer,Rat,59,Old Dominion,Monarchs,ce967953-5c50-4220-87b2-99acb9606e84
OLE MISS REBELS,Southeastern Conference,Kermit Davis,12/14/1959,12,14,1959,2018–19,1214,Sagittarius,Pig,60,Ole Miss,Rebels,d7d668ec-edaa-4d6b-be25-2ebba4128643
ORAL ROBERTS GOLDEN EAGLES,Summit League,Paul Mills,4/4/1972,4,4,1972,2017–18,404,Aries,Rat,47,Oral Roberts,Golden Eagles,095417ae-62b0-4109-afc4-d92918599dd4
OREGON DUCKS,Pac-12 Conference,Dana Altman,6/16/1958,6,16,1958,2010–11,616,Gemini,Dog,61,Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb
OREGON STATE BEAVERS,Pac-12 Conference,Wayne Tinkle,1/26/1966,1,26,1966,2014–15,126,Aquarius,Horse,53,Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f
PACIFIC TIGERS,West Coast Conference,Damon Stoudamire,9/3/1973,9,3,1973,2016–17,903,Virgo,Ox,46,Pacific,Tigers,c9570e17-c4fd-41e6-908a-1a083941319d
PENN STATE NITTANY LIONS,Big Ten Conference,Pat Chambers,12/13/1970,12,13,1970,2011–12,1213,Sagittarius,Dog,49,Penn State,Nittany Lions,4aebd148-8119-4875-954c-66779867989b
PENN QUAKERS,Ivy League,Steve Donahue,5/21/1962,5,21,1962,2015–16,521,Gemini,Tiger,57,Pennsylvania,Quakers,e6c94452-1adf-4fb9-90e5-10f165c57c5a
PEPPERDINE WAVES,West Coast Conference,Lorenzo Romar,11/13/1958,11,13,1958,2018–19,1113,Scorpio,Dog,61,Pepperdine,Waves,17479d6f-c8f1-458b-9412-8c76279a2bb4
PITTSBURGH PANTHERS,Atlantic Coast Conference,Jeff Capel III,2/12/1975,2,12,1975,2018–19,212,Aquarius,Rabbit,44,Pittsburgh,Panthers,24051034-96bb-4f78-a3a6-312f3258780f
PORTLAND PILOTS,West Coast Conference,Terry Porter,4/8/1963,4,8,1963,2016–17,408,Aries,Rabbit,56,Portland,Pilots,224e3b21-30e7-4a05-9e8c-62721d581db8
PORTLAND STATE VIKINGS,Big Sky Conference,Barret Peery,4/3/1971,4,3,1971,2017–18,403,Aries,Pig,48,Portland State,Vikings,79965018-7f6f-4273-9eef-65c99b592b01
PRAIRIE VIEW A&M PANTHERS,Southwestern Athletic Conference,Byron Smith,9/26/1969,9,26,1969,2015–16,926,Libra,Rooster,50,Prairie View A&M,Panthers,91ec9ba2-12e5-4a75-9410-a166c82163fd
PRESBYTERIAN BLUE HOSE,Big South Conference,Dustin Kerns,10/10/1968,10,10,1968,2017–18,1010,Libra,Monkey,51,Presbyterian,Blue Hose,b06b63b0-20e6-4c78-bdcf-5feac3d7995e
PRINCETON TIGERS,Ivy League,Mitch Henderson,8/14/1975,8,14,1975,2011–12,814,Leo,Rabbit,44,Princeton,Tigers,fe406882-9f22-495e-9df6-ef357a6803c6
PROVIDENCE FRIARS,Big East Conference,Ed Cooley,9/10/1969,9,10,1969,2011–12,910,Virgo,Rooster,50,Providence,Friars,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc
PURDUE BOILERMAKERS,Big Ten Conference,Matt Painter,8/27/1970,8,27,1970,2005–06,827,Virgo,Dog,49,Purdue,Boilermakers,12d7f888-675b-459f-9099-a38f771d8a95
PURDUE FORT WAYNE MASTODONS,Summit League,Jon Coffman,7/28/1973,7,28,1973,2014–15,728,Leo,Ox,46,Purdue Fort Wayne,Mastodons,22984593-0701-4648-b8a8-f6d695238620
QUINNIPIAC BOBCATS,Metro Atlantic Athletic Conference,Baker Dunleavy,10/5/1982,10,5,1982,2017–18,1005,Libra,Dog,37,Quinnipiac,Bobcats,6a8d2a24-2128-47a0-913f-3d29e9d6592c
RADFORD HIGHLANDERS,Big South Conference,Mike Jones,4/30/1965,4,30,1965,2011–12,430,Taurus,Snake,54,Radford,Highlanders,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b
RHODE ISLAND RAMS,Atlantic 10 Conference,David Cox,10/17/1973,10,17,1973,2018–19,1017,Libra,Ox,46,Rhode Island,Rams,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4
RICE OWLS,Conference USA,Scott Pera,8/27/1967,8,27,1967,2017–18,827,Virgo,Goat,52,Rice,Owls,bb384635-c3a0-459a-8f13-fcd7177313e5
RICHMOND SPIDERS,Atlantic 10 Conference,Chris Mooney,8/7/1972,8,7,1972,2005–06,807,Leo,Rat,47,Richmond,Spiders,9b66e1e0-aace-4671-9be2-54c8acf5ecfc
RIDER BRONCS,Metro Atlantic Athletic Conference,Kevin Baggett,5/3/1966,5,3,1966,2012–13,503,Taurus,Horse,53,Rider,Broncs,0b73b9b9-1e29-4b14-b5d8-0405fe942e32
ROBERT MORRIS COLONIALS,Northeast Conference,Andrew Toole,9/11/1980,9,11,1980,2010–11,911,Virgo,Monkey,39,Robert Morris,Colonials,6906e22d-92fa-40cb-8c05-ec8391ac1979
RUTGERS SCARLET KNIGHTS,Big Ten Conference,Steve Pikiell,11/21/1967,11,21,1967,2016–17,1121,Scorpio,Goat,52,Rutgers,Scarlet Knights,b03bb029-4499-4a2c-9074-5071ed360b21
SACRAMENTO STATE HORNETS,Big Sky Conference,Brian Katz,11/15/1957,11,15,1957,2008–09,1115,Scorpio,Rooster,62,Sacramento State,Hornets,1dc13b18-f9b3-4bb9-b1cf-979fcd8c2b6f
SACRED HEART PIONEERS,Northeast Conference,Anthony Latina,12/13/1973,12,13,1973,2013–14,1213,Sagittarius,Ox,46,Sacred Heart,Pioneers,3556d445-b3f1-467e-b150-952b32dfb150
SAINT JOSEPH'S HAWKS,Atlantic 10 Conference,Phil Martelli,8/31/1954,8,31,1954,1995–96,831,Virgo,Horse,65,Saint Joseph's (PA),Hawks,f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8
SAINT LOUIS BILLIKENS,Atlantic 10 Conference,Travis Ford,12/29/1969,12,29,1969,2016–17,1229,Capricorn,Rooster,50,Saint Louis,Billikens,1e42cce3-236b-4f3e-9650-2c45e6332e1e
SAINT MARY'S GAELS,West Coast Conference,Randy Bennett,6/9/1962,6,9,1962,2001–02,609,Gemini,Tiger,57,Saint Mary's,Gaels,b18f34af-a7f1-4659-a2e5-fc11a31cd316
SAM HOUSTON STATE BEARKATS,Southland Conference,Jason Hooten,4/20/1969,4,20,1969,2010–11,420,Taurus,Rooster,50,Sam Houston State,Bearkats,67322042-9c40-4dc2-b33a-4754c02ec82a
SAMFORD BULLDOGS,Southern Conference,Scott Padgett,4/19/1976,4,19,1976,2014–15,419,Taurus,Dragon,43,Samford,Bulldogs,c13f96ba-c79c-452f-9f63-3b45fae4e543
SAN DIEGO TOREROS,West Coast Conference,Sam Scholl,11/11/1977,11,11,1977,2018–19,1111,Scorpio,Snake,42,San Diego,Toreros,620d5944-7156-47d3-aad5-5b3824557d03
SAN DIEGO STATE AZTECS,Mountain West Conference,Brian Dutcher,10/30/1959,10,30,1959,2017–18,1030,Scorpio,Pig,60,San Diego State,Aztecs,e6914f16-ca37-4d2e-ba26-a425910283e2
SAN FRANCISCO DONS,West Coast Conference,Kyle Smith,6/15/1969,6,15,1969,2016–17,615,Gemini,Rooster,50,San Francisco,Dons,d24efd99-8717-43b9-a086-9986a684ac04
SAN JOSE STATE SPARTANS,Mountain West Conference,Jean Prioleau,3/30/1970,3,30,1970,2017–18,330,Aries,Dog,49,San Jose State,Spartans,29de4e5e-ee5b-48c8-bffc-1972e7da1e30
SANTA CLARA BRONCOS,West Coast Conference,Herb Sendek,2/22/1963,2,22,1963,2016–17,222,Pisces,Rabbit,56,Santa Clara,Broncos,28023973-1d9d-4d01-b939-dc8f9b44fb1c
SAVANNAH STATE TIGERS,Mid-Eastern Athletic Conference,Horace Broadnax,3/22/1964,3,22,1964,2005–06,322,Aries,Dragon,55,Savannah State,Tigers,3eacc387-0ad8-4c5e-a666-c8ab447d224f
SEATTLE REDHAWKS,Western Athletic Conference,Jim Hayford,5/5/1967,5,5,1967,2017–18,505,Taurus,Goat,52,Seattle,Redhawks,7e100f63-0b32-49f6-a954-f5b7c8cf48ad
SETON HALL PIRATES,Big East Conference,Kevin Willard,4/6/1975,4,6,1975,2010–11,406,Aries,Rabbit,44,Seton Hall,Pirates,aef5e386-d8e8-460c-8014-3a2f090fd988
SIENA SAINTS,Metro Atlantic Athletic Conference,Jamion Christian,4/18/1982,4,18,1982,2018–19,418,Aries,Dog,37,Siena,Saints,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6
SIU EDWARDSVILLE COUGARS,Ohio Valley Conference,Jon Harris,10/10/1968,10,10,1968,2015–16,1010,Libra,Monkey,51,SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9
