Seed,team_name,team_id,total_games_played,total_wins,total_losses,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
S10,Iowa Hawkeyes,c10544de-e3bd-4776-ba2e-83df8c017fd1,31,21,10,0.6489,0.5316,0.5609,6250.0,810,1775,1075,556,6250.0,0.517,254,700,0.363,83,574,772,0.744,278,751,1029,484,380,1.27,197,102,512,5,2448,393,2,415,392,0,3,972,2717,2114.68,0.579,12.68,13.39,12.65,201.6,79.0,8.97,24.23,33.19,15.6,6.35,3.29,12.26,16.52,0.06,2.68,26.13,57.26,8.19,22.58,18.52,24.9,17.94,34.68,31.35,87.65,68.22
S5,Wisconsin Badgers,c7569eae-5b93-4197-b204-6f3a62146b25,31,22,9,0.7133,0.571,0.6066,6325.0,806,1767,1163,580,6325.0,0.499,226,604,0.374,123,320,497,0.644,221,788,1009,395,292,1.35,159,129,470,3,2158,176,6,366,282,0,8,994,2420,1985.68,0.543,5.68,11.81,9.1,204.0,69.6,7.13,25.42,32.55,12.7,5.13,4.16,9.42,15.16,0.19,3.97,26.0,57.0,7.29,19.48,10.32,16.03,18.71,37.52,32.06,78.06,64.05
E10,Minnesota Golden Gophers,fa416692-7e09-4f0a-9bcf-0cf7d5149a14,31,19,12,0.6033,0.5554,0.5674,6200.0,766,1757,1239,598,6200.0,0.483,168,518,0.324,142,506,747,0.677,301,741,1042,454,381,1.19,152,129,512,0,2206,346,4,402,374,1,6,1040,2370,2085.68,0.529,11.16,12.97,12.06,200.0,71.2,9.71,23.9,33.61,14.6,4.9,4.16,12.29,16.52,0.13,4.58,24.71,56.68,5.42,16.71,16.32,24.1,19.29,39.97,33.55,76.45,67.28
W13,Vermont Catamounts,18e89867-9201-41ce-ba19-fadddf92fa17,31,25,6,0.8207,0.5002,0.5803,6250.0,788,1728,1046,552,6250.0,0.528,236,682,0.346,18,477,636,0.75,254,758,1012,363,343,1.06,174,125,512,3,2289,76,0,460,291,0,3,886,2521,2007.84,0.57,2.45,14.84,9.39,201.6,73.8,8.19,24.45,32.65,11.7,5.61,4.03,11.06,16.52,0.0,0.58,25.42,55.74,7.61,22.0,15.39,20.52,17.81,33.74,28.58,81.32,64.77
W16,Fairleigh Dickinson Knights,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,32,18,13,0.5985,0.453,0.4894,6500.0,846,1787,1170,599,6500.0,0.512,247,617,0.4,28,465,641,0.725,251,700,951,454,432,1.05,248,112,543,3,2404,389,0,512,298,0,3,1034,2620,2069.04,0.581,12.16,16.0,9.31,203.1,75.1,7.84,21.88,29.72,14.2,7.75,3.5,13.5,16.97,0.0,0.88,26.44,55.84,7.72,19.28,14.53,20.03,18.72,36.56,32.31,81.88,64.66
E14,Yale Bulldogs,ca478771-aa3d-4231-81e0-b70f519134fb,27,19,7,0.7623,0.5009,0.5663,5475.0,803,1626,1056,591,5475.0,0.56,212,570,0.372,11,355,496,0.716,212,786,998,468,368,1.27,160,119,458,4,2173,373,1,368,268,0,1,1014,2586,1844.24,0.589,13.81,13.63,9.93,202.8,80.5,7.85,29.11,36.96,17.3,5.93,4.41,13.63,16.96,0.04,0.41,29.74,60.22,7.85,21.11,13.15,18.37,21.89,39.11,37.56,95.78,68.31
M13,Northeastern Huskies,93df9b18-e9fc-42a7-bb45-a736c203b4dc,32,23,10,0.7219,0.5311,0.5788,6525.0,838,1739,940,530,6525.0,0.564,308,799,0.385,25,445,591,0.753,197,756,953,454,361,1.26,198,68,508,4,2429,205,2,451,225,0,1,919,2694,1999.04,0.608,6.41,14.09,7.03,203.9,75.9,6.16,23.63,29.78,14.2,6.19,2.13,11.28,15.88,0.06,0.78,26.19,54.34,9.63,24.97,13.91,18.47,16.56,29.38,28.72,84.19,62.47
W1,Gonzaga Bulldogs,2f4d21f8-6d5f-48a5-abca-52a30583871a,32,30,3,0.9116,0.5463,0.6376,6400.0,1044,1949,1262,789,6400.0,0.625,255,687,0.371,64,542,706,0.768,277,890,1167,588,330,1.78,244,174,516,3,2885,388,0,582,389,0,5,1416,3659,2259.64,0.638,12.13,18.19,12.16,200.0,90.2,8.66,27.81,36.47,18.4,7.63,5.44,10.31,16.13,0.0,2.0,32.63,60.91,7.97,21.47,16.94,22.06,24.66,39.44,44.25,114.34,70.61
S11,Saint Mary's Gaels,b18f34af-a7f1-4659-a2e5-fc11a31cd316,32,22,11,0.6434,0.5524,0.5751,6425.0,853,1799,1165,612,6425.0,0.525,241,634,0.38,93,399,538,0.742,274,762,1036,328,338,0.97,191,83,547,1,2346,156,2,401,288,0,5,1128,2561,2035.72,0.576,4.88,12.53,9.0,200.8,73.3,8.56,23.81,32.38,10.3,5.97,2.59,10.56,17.09,0.06,2.91,26.66,56.22,7.53,19.81,12.47,16.81,19.13,36.41,35.25,80.03,63.62
W5,Marquette Golden Eagles,06f7c904-0ac7-4125-b0f4-f4871bb69057,31,23,8,0.7143,0.5597,0.5983,6275.0,819,1779,1037,527,6275.0,0.508,292,742,0.394,86,470,615,0.764,242,846,1088,424,432,0.98,154,136,568,6,2400,343,0,386,266,0,10,874,2665,2049.6,0.585,11.06,12.45,8.58,202.4,77.4,7.81,27.29,35.1,13.7,4.97,4.39,13.94,18.32,0.0,2.77,26.42,57.39,9.42,23.94,15.16,19.84,17.0,33.45,28.19,85.97,66.12
S6,Villanova Wildcats,4383eb6a-7fd8-4ff2-94c5-43c933121e88,31,22,9,0.7287,0.5737,0.6125,6250.0,771,1738,806,440,6250.0,0.546,331,932,0.355,69,441,607,0.727,284,718,1002,440,344,1.28,167,93,511,2,2314,295,0,407,338,0,14,746,2539,2005.08,0.577,9.52,13.13,10.9,201.6,74.6,9.16,23.16,32.32,14.2,5.39,3.0,11.1,16.48,0.0,2.23,24.87,56.06,10.68,30.06,14.23,19.58,14.19,26.0,24.06,81.9,64.68
M10,Seton Hall Pirates,aef5e386-d8e8-460c-8014-3a2f090fd988,30,18,12,0.5873,0.5574,0.5648,6075.0,786,1771,1128,577,6075.0,0.512,209,643,0.325,132,433,606,0.715,267,708,975,410,383,1.07,211,120,548,5,2214,313,1,427,283,0,10,1042,2389,2037.64,0.543,10.43,14.23,9.43,202.5,73.8,8.9,23.6,32.5,13.7,7.03,4.0,12.77,18.27,0.03,4.4,26.2,59.03,6.97,21.43,14.43,20.2,19.23,37.6,34.73,79.63,67.92
E13,Saint Louis Billikens,1e42cce3-236b-4f3e-9650-2c45e6332e1e,31,19,12,0.6033,0.5057,0.5301,6200.0,737,1772,1192,560,6200.0,0.47,177,580,0.305,102,439,733,0.599,379,759,1138,399,414,0.96,230,125,563,7,2090,254,3,449,398,0,17,978,2239,2094.52,0.499,8.19,14.48,12.84,200.0,67.4,12.23,24.48,36.71,12.9,7.42,4.03,13.35,18.16,0.1,3.29,23.77,57.16,5.71,18.71,14.16,23.65,18.06,38.45,31.55,72.23,67.57
E8,Virginia Commonwealth Rams,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,31,25,6,0.8195,0.5577,0.6232,6250.0,778,1753,1028,556,6250.0,0.541,222,725,0.306,77,438,627,0.699,291,766,1057,432,434,1.0,249,137,616,7,2216,287,0,530,297,0,3,971,2493,2028.88,0.546,9.26,17.1,9.58,201.6,71.5,9.39,24.71,34.1,13.9,8.03,4.42,14.0,19.87,0.0,2.48,25.1,56.55,7.16,23.39,14.13,20.23,17.94,33.16,31.32,80.42,65.45
M16,Iona Gaels,255c2a87-40c0-4989-bbb9-d286aac5d28e,32,17,15,0.5563,0.4692,0.491,6400.0,835,1842,1038,553,6400.0,0.533,282,804,0.351,27,507,684,0.741,235,757,992,421,396,1.06,217,89,550,13,2459,312,1,513,285,0,5,928,2598,2142.96,0.574,9.75,16.03,8.91,200.0,76.8,7.34,23.66,31.0,13.2,6.78,2.78,12.38,17.19,0.03,0.84,26.09,57.56,8.81,25.13,15.84,21.38,17.28,32.44,29.0,81.19,66.97
