Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign,Chinese Zodiac,Age
American Eagles,Patriot League,Mike Brennan,5/18/1972,5,18,1972,2013–14,518,Taurus,Rat,47
Lehigh Mountain Hawks,Patriot League,Brett Reed,5/29/1972,5,29,1972,2007–08,529,Gemini,Rat,47
Lipscomb Bisons,Atlantic Sun Conference,Casey Alexander,6/8/1972,6,8,1972,2013–14,608,Gemini,Rat,47
Hampton Pirates,Big South Conference,Edward Joyner,6/28/1972,6,28,1972,2009–10,628,Cancer,Rat,47
NC State Wolfpack,Atlantic Coast Conference,Kevin Keatts,7/28/1972,7,28,1972,2017–18,728,Leo,Rat,47
Richmond Spiders,Atlantic 10 Conference,Chris Mooney,8/7/1972,8,7,1972,2005–06,807,Leo,Rat,47
Milwaukee Panthers,Horizon League,Pat Baldwin,8/22/1972,8,22,1972,2017–18,822,Leo,Rat,47
Virginia Tech Hokies,Atlantic Coast Conference,Buzz Williams,9/1/1972,9,1,1972,2014–15,901,Virgo,Rat,47
Stony Brook Seawolves,America East Conference,Jeff Boals,9/5/1972,9,5,1972,2016–17,905,Virgo,Rat,47
Utah Valley Wolverines,Western Athletic Conference,Mark Pope,9/11/1972,9,11,1972,2015–16,911,Virgo,Rat,47
VCU Rams,Atlantic 10 Conference,Mike Rhoades,9/21/1972,9,21,1972,2017–18,921,Virgo,Rat,47
Ohio Bobcats,Mid-American Conference,Saul Phillips,10/10/1972,10,10,1972,2014–15,1010,Libra,Rat,47
Utah State Aggies,Mountain West Conference,Craig Smith,12/14/1972,12,14,1972,2018–19,1214,Sagittarius,Rat,47
James Madison Dukes,Colonial Athletic Association,Louis Rowe,12/26/1972,12,26,1972,2016–17,1226,Capricorn,Rat,47
California Golden Bears,Pac-12 Conference,Wyking Jones,1/8/1973,1,8,1973,2017–18,108,Capricorn,Ox,46
Connecticut Huskies,American Athletic Conference,Dan Hurley,1/16/1973,1,16,1973,2018–19,116,Capricorn,Ox,46
Texas Tech Red Raiders,Big 12 Conference,Chris Beard,2/18/1973,2,18,1973,2016–17,218,Aquarius,Ox,46
Central Connecticut Blue Devils,Northeast Conference,Donyell Marshall,5/18/1973,5,18,1973,2016–17,518,Taurus,Ox,46
LIU Brooklyn Blackbirds,Northeast Conference,Derek Kellogg,6/20/1973,6,20,1973,2017–18,620,Gemini,Ox,46
Kent State Golden Flashes,Mid-American Conference,Rob Senderoff,7/25/1973,7,25,1973,2011–12,725,Leo,Ox,46
Purdue Fort Wayne Mastodons,Summit League,Jon Coffman,7/28/1973,7,28,1973,2014–15,728,Leo,Ox,46
Colorado State Rams,Mountain West Conference,Niko Medved,8/10/1973,8,10,1973,2018–19,810,Leo,Ox,46
Pacific Tigers,West Coast Conference,Damon Stoudamire,9/3/1973,9,3,1973,2016–17,903,Virgo,Ox,46
Eastern Michigan Eagles,Mid-American Conference,Rob Murphy,9/19/1973,9,19,1973,2011–12,919,Virgo,Ox,46
Appalachian State Mountaineers,Sun Belt Conference,Jim Fox,10/2/1973,10,2,1973,2014–15,1002,Libra,Ox,46
Rhode Island Rams,Atlantic 10 Conference,David Cox,10/17/1973,10,17,1973,2018–19,1017,Libra,Ox,46
Campbell Fighting Camels,Big South Conference,Kevin McGeehan,10/30/1973,10,30,1973,2013–14,1030,Scorpio,Ox,46
Sacred Heart Pioneers,Northeast Conference,Anthony Latina,12/13/1973,12,13,1973,2013–14,1213,Sagittarius,Ox,46
Northern Kentucky Norse,Horizon League,John Brannen,1/18/1974,1,18,1974,2015–16,118,Capricorn,Tiger,45
South Carolina State Bulldogs,Mid-Eastern Athletic Conference,Murray Garvin,1/25/1974,1,25,1974,2012–13,125,Aquarius,Tiger,45
Binghamton Bearcats,America East Conference,Tommy Dempsey,1/27/1974,1,27,1974,2012–13,127,Aquarius,Tiger,45
Evansville Purple Aces,Missouri Valley Conference,Walter McCarty,2/1/1974,2,1,1974,2018–19,201,Aquarius,Tiger,45
Bucknell Bison,Patriot League,Nathan Davis,3/25/1974,3,25,1974,2015–16,325,Aries,Tiger,45
Stanford Cardinal,Pac-12 Conference,Jerod Haase,4/1/1974,4,1,1974,2016–17,401,Aries,Tiger,45
Northwestern Wildcats,Big Ten Conference,Chris Collins,4/19/1974,4,19,1974,2013–14,419,Aries,Tiger,45
Fairfield Stags,Metro Atlantic Athletic Conference,Sydney Johnson,4/26/1974,4,26,1974,2011–12,426,Taurus,Tiger,45
Cal State Fullerton Titans,Big West Conference,Dedrique Taylor,5/1/1974,5,1,1974,2013–14,501,Taurus,Tiger,45
New Orleans Privateers,Southland Conference,Mark Slessinger,5/2/1974,5,2,1974,2011–12,502,Taurus,Tiger,45
North Carolina Central Eagles,Mid-Eastern Athletic Conference,LeVelle Moton,6/16/1974,6,16,1974,2009–10,616,Gemini,Tiger,45
UMBC Retrievers,America East Conference,Ryan Odom,7/11/1974,7,11,1974,2016–17,711,Cancer,Tiger,45
Iowa State Cyclones,Big 12 Conference,Steve Prohm,7/12/1974,7,12,1974,2015–16,712,Cancer,Tiger,45
UMKC Kangaroos,Western Athletic Conference,Kareem Richardson,8/8/1974,8,8,1974,2013–14,808,Leo,Tiger,45
Western Illinois Leathernecks,Summit League,Billy Wright,9/15/1974,9,15,1974,2014–15,915,Virgo,Tiger,45
Vanderbilt Commodores,Southeastern Conference,Bryce Drew,9/21/1974,9,21,1974,2016–17,921,Virgo,Tiger,45
VMI Keydets,Southern Conference,Dan Earl,10/12/1974,10,12,1974,2015–16,1012,Libra,Tiger,45
Buffalo Bulls,Mid-American Conference,Nate Oats,10/13/1974,10,13,1974,2015–16,1013,Libra,Tiger,45
Pittsburgh Panthers,Atlantic Coast Conference,Jeff Capel III,2/12/1975,2,12,1975,2018–19,212,Aquarius,Rabbit,44
Seton Hall Pirates,Big East Conference,Kevin Willard,4/6/1975,4,6,1975,2010–11,406,Aries,Rabbit,44
Drake Bulldogs,Missouri Valley Conference,Darian DeVries,4/7/1975,4,7,1975,2018–19,407,Aries,Rabbit,44
Winthrop Eagles,Big South Conference,Pat Kelsey,5/15/1975,5,15,1975,2012–13,515,Taurus,Rabbit,44
Princeton Tigers,Ivy League,Mitch Henderson,8/14/1975,8,14,1975,2011–12,814,Leo,Rabbit,44
Abilene Christian Wildcats,Southland Conference,Joe Golding,10/15/1975,10,15,1975,2011–12,1015,Libra,Rabbit,44
UNC Wilmington Seahawks,Colonial Athletic Association,C.B. McGrath,11/21/1975,11,21,1975,2017–18,1121,Scorpio,Rabbit,44
Wyoming Cowboys,Mountain West Conference,Allen Edwards,12/16/1975,12,16,1975,2016–17,1216,Sagittarius,Rabbit,44
Illinois State Redbirds,Missouri Valley Conference,Dan Muller,2/21/1976,2,21,1976,2012–13,221,Pisces,Dragon,43
UC Riverside Highlanders,Big West Conference,David Patrick,2/21/1976,2,21,1976,2018–19,221,Pisces,Dragon,43
Samford Bulldogs,Southern Conference,Scott Padgett,4/19/1976,4,19,1976,2014–15,419,Taurus,Dragon,43
Georgia Southern Eagles,Sun Belt Conference,Mark Byington,4/22/1976,4,22,1976,2013–14,422,Taurus,Dragon,43
Marquette Golden Eagles,Big East Conference,Steve Wojciechowski,8/11/1976,8,11,1976,2014–15,811,Leo,Dragon,43
Drexel Dragons,Colonial Athletic Association,Zach Spiker,9/30/1976,9,30,1976,2016–17,930,Libra,Dragon,43
Saint Peter's Peacocks,Metro Atlantic Athletic Conference,Shaheen Holloway,10/7/1976,10,7,1976,2018–19,1007,Libra,Dragon,43
North Texas Mean Green,Conference USA,Grant McCasland,10/14/1976,10,14,1976,2017–18,1014,Libra,Dragon,43
Louisiana Tech Bulldogs,Conference USA,Eric Konkol,11/24/1976,11,24,1976,2015–16,1124,Sagittarius,Dragon,43
Charleston Cougars,Colonial Athletic Association,Earl Grant,12/25/1976,12,25,1976,2014–15,1225,Capricorn,Dragon,43
Gardner–Webb Runnin' Bulldogs,Big South Conference,Tim Craft,2/3/1977,2,3,1977,2013–14,203,Aquarius,Snake,42
Florida Gators,Southeastern Conference,Michael White,3/2/1977,3,2,1977,2015–16,302,Pisces,Snake,42
Miami RedHawks,Mid-American Conference,Jack Owens,4/3/1977,4,3,1977,2017–18,403,Aries,Snake,42
Texas Longhorns,Big 12 Conference,Shaka Smart,4/8/1977,4,8,1977,2015–16,408,Aries,Snake,42
UC Santa Barbara Gauchos,Big West Conference,Joe Pasternack,4/15/1977,4,15,1977,2017–18,415,Aries,Snake,42
Incarnate Word Cardinals,Southland Conference,Carson Cunningham,5/7/1977,5,7,1977,2018–19,507,Taurus,Snake,42
Hartford Hawks,America East Conference,John Gallagher,5/27/1977,5,27,1977,2010–11,527,Gemini,Snake,42
California Baptist Lancers,Western Athletic Conference,Rick Croy,7/19/1977,7,19,1977,2013–14,719,Cancer,Snake,42
Manhattan Jaspers,Metro Atlantic Athletic Conference,Steve Masiello,9/2/1977,9,2,1977,2011–12,902,Virgo,Snake,42
South Dakota State Jackrabbits,Summit League,T. J. Otzelberger,9/17/1977,9,17,1977,2016–17,917,Virgo,Snake,42
Georgia Tech Yellow Jackets,Atlantic Coast Conference,Josh Pastner,9/26/1977,9,26,1977,2016–17,926,Libra,Snake,42
Saint Francis Red Flash,Northeast Conference,Rob Krimmel,9/27/1977,9,27,1977,2012–13,927,Libra,Snake,42
San Diego Toreros,West Coast Conference,Sam Scholl,11/11/1977,11,11,1977,2018–19,1111,Scorpio,Snake,42
Colgate Raiders,Patriot League,Matt Langel,11/21/1977,11,21,1977,2011–12,1121,Scorpio,Snake,42
Jacksonville Dolphins,Atlantic Sun Conference,Tony Jasick,4/17/1978,4,17,1978,2014–15,417,Aries,Horse,41
Murray State Racers,Ohio Valley Conference,Matt McMahon,4/26/1978,4,26,1978,2015–16,426,Taurus,Horse,41
North Dakota State Bison,Summit League,David Richman,5/1/1978,5,1,1978,2014–15,501,Taurus,Horse,41
Coppin State Eagles,Mid-Eastern Athletic Conference,Juan Dixon,10/9/1978,10,9,1978,2017–18,1009,Libra,Horse,41
Indiana Hoosiers,Big Ten Conference,Archie Miller,10/30/1978,10,30,1978,2017–18,1030,Scorpio,Horse,41
Delaware Fightin' Blue Hens,Colonial Athletic Association,Martin Ingelsby,11/24/1978,11,24,1978,2016–17,1124,Sagittarius,Horse,41
Grambling State Tigers,Southwestern Athletic Conference,Donte Jackson,1/19/1979,1,19,1979,2017–18,119,Capricorn,Goat,40
Butler Bulldogs,Big East Conference,LaVall Jordan,4/16/1979,4,16,1979,2017–18,416,Aries,Goat,40
Middle Tennessee Blue Raiders,Conference USA,Nick McDevitt,4/21/1979,4,21,1979,2018–19,421,Taurus,Goat,40
New Mexico Lobos,Mountain West Conference,Paul Weir,6/12/1979,6,12,1979,2017–18,612,Gemini,Goat,40
Norfolk State Spartans,Mid-Eastern Athletic Conference,Robert Jones,6/26/1979,6,26,1979,2013–14,626,Cancer,Goat,40
Northern Arizona Lumberjacks,Big Sky Conference,Jack Murphy,7/25/1979,7,25,1979,2012–13,725,Leo,Goat,40
Bradley Braves,Missouri Valley Conference,Brian Wardle,10/9/1979,10,9,1979,2015–16,1009,Libra,Goat,40
Loyola (Maryland) Greyhounds,Patriot League,Tavaras Hardy,2/9/1980,2,9,1980,2018–19,209,Aquarius,Monkey,39
Bryant Bulldogs,Northeast Conference,Jared Grasso,5/11/1980,5,11,1980,2018–19,511,Taurus,Monkey,39
Southern Utah Thunderbirds,Big Sky Conference,Todd Simon,8/3/1980,8,3,1980,2016–17,803,Leo,Monkey,39
Robert Morris Colonials,Northeast Conference,Andrew Toole,9/11/1980,9,11,1980,2010–11,911,Virgo,Monkey,39
Eastern Kentucky Colonels,Ohio Valley Conference,A.W. Hamilton,10/15/1980,10,15,1980,2018–19,1015,Libra,Monkey,39
Texas–Arlington Mavericks,Sun Belt Conference,Chris Ogden,10/16/1980,10,16,1980,2018–19,1016,Libra,Monkey,39
IUPUI Jaguars,Horizon League,Jason Gardner,11/14/1980,11,14,1980,2014–15,1114,Scorpio,Monkey,39
Florida International Panthers,Conference USA,Jeremy Ballard,6/29/1981,6,29,1981,2018–19,629,Cancer,Rooster,38
Eastern Washington Eagles,Big Sky Conference,Shantay Legans,7/30/1981,7,30,1981,2017–18,730,Leo,Rooster,38
Hawaii Rainbow Warriors,Big West Conference,Eran Ganot,9/8/1981,9,8,1981,2015–16,908,Virgo,Rooster,38
Youngstown State Penguins,Horizon League,Jerrod Calhoun,10/17/1981,10,17,1981,2017–18,1017,Libra,Rooster,38
Xavier Musketeers,Big East Conference,Travis Steele,11/12/1981,11,12,1981,2018–19,1112,Scorpio,Rooster,38
UMass Minutemen,Atlantic 10 Conference,Matt McCall,12/12/1981,12,12,1981,2017–18,1212,Sagittarius,Rooster,38
Oklahoma State Cowboys,Big 12 Conference,Mike Boynton,1/17/1982,1,17,1982,2017–18,117,Capricorn,Dog,37
Alabama A&M Bulldogs,Southwestern Athletic Conference,Dylan Howard,1/19/1982,1,19,1982,2018–19,119,Capricorn,Dog,37
Siena Saints,Metro Atlantic Athletic Conference,Jamion Christian,4/18/1982,4,18,1982,2018–19,418,Aries,Dog,37
UAB Blazers,Conference USA,Robert Ehsan,5/3/1982,5,3,1982,2016–17,503,Taurus,Dog,37
Brown Bears,Ivy League,Mike Martin,7/4/1982,7,4,1982,2012–13,704,Cancer,Dog,37
Valparaiso Crusaders,Missouri Valley Conference,Matt Lottich,7/29/1982,7,29,1982,2016–17,729,Leo,Dog,37
UNC Asheville Bulldogs,Big South Conference,Mike Morrell,8/22/1982,8,22,1982,2018–19,822,Leo,Dog,37
Minnesota Golden Gophers,Big Ten Conference,Richard Pitino,9/16/1982,9,16,1982,2013–14,916,Virgo,Dog,37
Quinnipiac Bobcats,Metro Atlantic Athletic Conference,Baker Dunleavy,10/5/1982,10,5,1982,2017–18,1005,Libra,Dog,37
LSU Tigers,Southeastern Conference,Will Wade,11/26/1982,11,26,1982,2017–18,1126,Sagittarius,Dog,37
South Alabama Jaguars,Sun Belt Conference,Richie Riley,1/8/1983,1,8,1983,2018–19,108,Capricorn,Pig,36
Denver Pioneers,Summit League,Rodney Billups,1/14/1983,1,14,1983,2016–17,114,Capricorn,Pig,36
UNC Greensboro Spartans,Southern Conference,Wes Miller,1/28/1983,1,28,1983,2011–12,128,Aquarius,Pig,36
Furman Paladins,Southern Conference,Bob Richey,3/22/1983,3,22,1983,2017–18,322,Aries,Pig,36
Florida Gulf Coast Eagles,Atlantic Sun Conference,Michael Fly,5/29/1983,5,29,1983,2018–19,529,Gemini,Pig,36
Wagner Seahawks,Northeast Conference,Bashir Mason,2/11/1984,2,11,1984,2012–13,211,Aquarius,Rat,35
Tennessee State Tigers,Ohio Valley Conference,Brian Collins,3/23/1984,3,23,1984,2018–19,323,Aries,Rat,35
Missouri State Bears,Missouri Valley Conference,Dana Ford,6/9/1984,6,9,1984,2018–19,609,Gemini,Rat,35
Bethune-Cookman Wildcats,Mid-Eastern Athletic Conference,Ryan Ridder,11/11/1984,11,11,1984,2017–18,1111,Scorpio,Rat,35
Arkansas State Red Wolves,Sun Belt Conference,Mike Balado,5/31/1985,5,31,1985,2017–18,531,Gemini,Ox,34
George Washington Colonials,Atlantic 10 Conference,Maurice Joseph,8/26/1985,8,26,1985,2016–17,826,Virgo,Ox,34
Morehead State Eagles,Ohio Valley Conference,Preston Spradlin,12/30/1986,12,30,1986,2016–17,1230,Capricorn,Ox,33
Nicholls State Colonels,Southland Conference,Austin Claunch,11/17/1989,11,17,1989,2018–19,1117,Scorpio,Ox,30
